Type of Crisis,release_year,title
Asia ,2013,"['The Conjuring', 'The Conjuring', 'The Conjuring', 'The Conjuring', 'World War Z', 'World War Z', 'World War Z', 'World War Z', ""All Hallows' Eve"", ""All Hallows' Eve"", ""All Hallows' Eve"", ""All Hallows' Eve""]"
Asia ,2015,"['Krampus', 'Scouts Guide to the Zombie Apocalypse']"
Asia ,2016,"['Train to Busan', 'Train to Busan', 'The Conjuring 2', 'The Conjuring 2']"
Asia ,2017,"['Alien: Covenant', 'Life']"
Asia ,2018,"['Terrifier', 'Terrifier', 'Terrifier', 'Terrifier', 'A Quiet Place', 'A Quiet Place', 'A Quiet Place', 'A Quiet Place', 'Hereditary', 'Hereditary', 'Hereditary', 'Hereditary', 'The Meg', 'The Meg', 'The Meg', 'The Meg']"
Asia ,2019,"['It Chapter Two', 'It Chapter Two', 'It Chapter Two', 'It Chapter Two', 'Ready or Not', 'Ready or Not', 'Ready or Not', 'Ready or Not', 'Midsommar', 'Midsommar', 'Midsommar', 'Midsommar']"
Australasia,1960,"['Psycho', 'Psycho', 'Psycho', 'Peeping Tom', 'Peeping Tom', 'Peeping Tom', 'Village of the Damned', 'Village of the Damned', 'Village of the Damned', 'The Brides of Dracula', 'The Brides of Dracula', 'The Brides of Dracula', '13 Ghosts', '13 Ghosts', '13 Ghosts', 'Eyes Without a Face', 'Eyes Without a Face', 'Eyes Without a Face']"
Australasia,1965,"['Planet of the Vampires', 'Planet of the Vampires', 'Repulsion', 'Repulsion']"
Australasia,1966,"['Munster, Go Home!']"
Australasia,1975,"['Jaws', 'Deep Throat in Tokyo', 'The Rocky Horror Picture Show']"
Australasia,1986,"['The Texas Chainsaw Massacre 2', 'The Texas Chainsaw Massacre 2', 'The Fly', 'The Fly']"
Australasia,1987,"[""Dragon Ball: Sleeping Princess in Devil's Castle""]"
Australasia,1998,"['Blade', 'Bride of Chucky', 'The Faculty']"
Australasia,1999,"['The Blair Witch Project', 'The Blair Witch Project']"
Canada,1960,"['Psycho', 'Psycho', 'Peeping Tom', 'Peeping Tom', 'Village of the Damned', 'Village of the Damned', 'The Brides of Dracula', 'The Brides of Dracula', '13 Ghosts', '13 Ghosts', 'Eyes Without a Face', 'Eyes Without a Face']"
Canada,1965,"['Planet of the Vampires', 'Repulsion']"
Canada,1980,"['The Shining', 'Friday the 13th', 'Cannibal Holocaust']"
Canada,1982,"['Female Teacher: In Front of the Students', 'The Thing']"
Canada,1990,['Erotic Ghost Story']
Canada,1995,"['Species', 'Species']"
Canada,2011,"['Terrifier', 'Thriller Night']"
Canada,2015,"['Krampus', 'Scouts Guide to the Zombie Apocalypse']"
Canada,2016,"['Train to Busan', 'The Conjuring 2']"
Civil Rights,1960,"['Psycho', 'Psycho', 'Psycho', 'Psycho', 'Psycho', 'Psycho', 'Psycho', 'Psycho', 'Psycho', 'Psycho', 'Peeping Tom', 'Peeping Tom', 'Peeping Tom', 'Peeping Tom', 'Peeping Tom', 'Peeping Tom', 'Peeping Tom', 'Peeping Tom', 'Peeping Tom', 'Peeping Tom', 'Village of the Damned', 'Village of the Damned', 'Village of the Damned', 'Village of the Damned', 'Village of the Damned', 'Village of the Damned', 'Village of the Damned', 'Village of the Damned', 'Village of the Damned', 'Village of the Damned', 'The Brides of Dracula', 'The Brides of Dracula', 'The Brides of Dracula', 'The Brides of Dracula', 'The Brides of Dracula', 'The Brides of Dracula', 'The Brides of Dracula', 'The Brides of Dracula', 'The Brides of Dracula', 'The Brides of Dracula', '13 Ghosts', '13 Ghosts', '13 Ghosts', '13 Ghosts', '13 Ghosts', '13 Ghosts', '13 Ghosts', '13 Ghosts', '13 Ghosts', '13 Ghosts', 'Eyes Without a Face', 'Eyes Without a Face', 'Eyes Without a Face', 'Eyes Without a Face', 'Eyes Without a Face', 'Eyes Without a Face', 'Eyes Without a Face', 'Eyes Without a Face', 'Eyes Without a Face', 'Eyes Without a Face']"
Civil Rights,1963,"['The Birds', 'The Birds', 'The Birds', 'The Birds', 'The Day of the Triffids', 'The Day of the Triffids', 'The Day of the Triffids', 'The Day of the Triffids']"
Civil Rights,1964,"['Onibaba', 'Onibaba', 'Onibaba']"
